Substance,has,Component,CASNumber,ECRefNo,MolecularFormula,smiles
Spinetoram,as such,Spinetoram,935545-74-7,,C42H69NO10,CC[C@@H]1CCC[C@H]([C@@H](C(=O)C2=C[C@H]3[C@@H]([C@H]2CC(=O)O1)CC[C@@H]4[C@@H]3C[C@H](C4)O[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)C)OC)OCC)OC)C)O[C@@H]6CC[C@H]([C@@H](O6)C)N(C)C
Spinetoram formulation (GF-1587),active ingredient,Spinetoram,935545-74-7,,C42H69NO10,CC[C@@H]1CCC[C@H]([C@@H](C(=O)C2=C[C@H]3[C@@H]([C@H]2CC(=O)O1)CC[C@@H]4[C@@H]3C[C@H](C4)O[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)C)OC)OCC)OC)C)O[C@@H]6CC[C@H]([C@@H](O6)C)N(C)C
Spinosad,as such,Spinosad,,,,
"Spiro(2,4-dithia-1-methyl-8-oxa-bicyclo[3.3.0]octane-3,3'-(1'-oxa-2'-methyl)-cyclopentane) and Spiro(dithia-6-methyl-7-oxa-bicyclo[3.3.0]octane-3,3'-spiro(2,4-(1'-oxa-2-methyl)cyclopentane)",as such,"Spiro(2,4-dithia-1-methyl-8-oxa-bicyclo[3.3.0]octane-3,3'-(1'-oxa-2'-methyl)-cyclopentane) and Spiro(dithia-6-methyl-7-oxa-bicyclo[3.3.0]octane-3,3'-spiro(2,4-(1'-oxa-2-methyl)cyclopentane)",38325-25-6,253-884-7,,
"Spiro(2,4-dithia-1-methyl-8-oxa-bicyclo[3.3.0]octane-3,3'-(1'-oxa-2'-methyl)-cyclopentane) and Spiro(dithia-6-methyl-7-oxa-bicyclo[3.3.0]octane-3,3'-spiro(2,4-(1'-oxa-2-methyl)cyclopentane)",part of,"2',3a-Dimethylhexahydrospiro[1,3-dithiolo[4,5-b]furan-2,3'-furan]",,,C10H16O2S2,
"Spiro(2,4-dithia-1-methyl-8-oxa-bicyclo[3.3.0]octane-3,3'-(1'-oxa-2'-methyl)-cyclopentane) and Spiro(dithia-6-methyl-7-oxa-bicyclo[3.3.0]octane-3,3'-spiro(2,4-(1'-oxa-2-methyl)cyclopentane)",part of,"2',4-Dimethylhexahydrospiro[1,3-dithiolo[4,5-c]furan-2,3'-furan]",,,C10H16O2S2,CC3OCCC13SC2COC(C)C2S1
Spirodiclofen,as such,Spirodiclofen,148477-71-8,,C21H24Cl2O4,O=C2OC1(C(OC(C(CC)(C)C)=O)=C2C3=CC(Cl)=CC(Cl)=C3)CCCCC1
Spirolides,part of group assessment,"13,19-Didesmethyl spirolide C",,,,
Spirolides,part of group assessment,13-Desmethyl spirolide C,,,,
Spirolides,part of group assessment,13-Desmethyl spirolide D,,,,
Spirolides,part of group assessment,20-Methyl spirolide G,,,,
Spirolides,part of group assessment,"27-Hydroxy 13,19-didesmethyl spirolide C",,,,
Spirolides,part of group assessment,Spirolide A,318996-47-3,,C42H61NO7,CC1CCC23CCC(=C(C2/C=C(/C(CC4C(CC5(O4)CCC6(O5)C(CCC(O6)CC(=C)CCCC3=NC1)(C)O)C)O)\C)C)C7C=C(C(=O)O7)C
Spirolides,part of group assessment,Spirolide B,170713-72-1,,C42H63NO7,CC1CCC23CCC(=C(C2/C=C(/C(CC4C(CC5(O4)CCC6(O5)C(CCC(O6)CC(=C)CCCC3=NC1)(C)O)C)O)\C)C)C7CC(C(=O)O7)C
Spirolides,part of group assessment,Spirolide C,318996-49-5,,C43H63NO7,CC1CC23CCC(=C(C2/C=C(/C(CC4C(CC5(O4)CCC6(O5)C(CCC(O6)CC(=C)CCCC3=NCC1C)(C)O)C)O)\C)C)C7C=C(C(=O)O7)C
Spirolides,part of group assessment,Spirolide D,170713-73-2,,C43H65NO7,CC1CC(OC1=O)C2=C(C3/C=C(/C(CC4C(CC5(O4)CCC6(O5)C(CCC(O6)CC(=C)CCCC7=NCC(C(CC37CC2)C)C)(C)O)C)O)\C)C
Spirolides,part of group assessment,Spirolide E,,,C42H63NO8,CC1CC23CCC4(O2)C(CCC(O4)CC(=C)CCCC(=O)C5(CCC(=C(C5/C=C(/C(CC1O3)O)\C)C)C6C=C(C(=O)O6)C)CCC(C)CN)(C)O
Spirolides,part of group assessment,Spirolide F,,,C42H65NO8,CC1CC(OC1=O)C2=C(C3/C=C(/C(CC4C(CC5(O4)CCC6(O5)C(CCC(O6)CC(=C)CCCC(=O)C3(CC2)CCC(C)CN)(C)O)C)O)\C)C
Spirolides,part of group assessment,Spirolide G,,,C42H61NO7,CC1CC23CCC(=C(C2/C=C(/CCC4CCC5(O4)CC(CC6(O5)C(CCC(O6)CC(=C)CCCC3=NCC1C)O)O)\C)C)C7C=C(C(=O)O7)C
Spiromesifen,as such,Spiromesifen,283594-90-1,,C23H30O4,O=C(CC(C)(C)C)OC1=C(C3=C(C)C=C(C)C=C3C)C(OC21CCCC2)=O
Spiromesifen formulation (Oberon SC 240 (BSN 2060 SC 240)),active ingredient,Spiromesifen,283594-90-1,,C23H30O4,O=C(CC(C)(C)C)OC1=C(C3=C(C)C=C(C)C=C3C)C(OC21CCCC2)=O
Spirotetramat,as such,Spirotetramat,,,,
Spirotetramat-desmethyl-ketohydroxy,as such,Spirotetramat-desmethyl-ketohydroxy,,,C17H21NO4,Cc1cc(c(C)cc1)C3(O)C(=O)N[C@]2(CC[C@H](CC2)O)C3=O
Spirotetramat-dihydroxy,as such,Spirotetramat-dihydroxy,,,C17H23NO4,Cc1cc(c(C)cc1)C3(O)C(=O)N[C@@]2(CC[C@@H](CC2)O)C3O
Spirotetramat-ketohydroxy,as such,Spirotetramat-ketohydroxy,,,C18H23NO4,Cc1cc(c(C)cc1)C3(O)C(=O)N[C@]2(CC[C@H](CC2)OC)C3=O
Spirotetramat-monohydroxy,as such,Spirotetramat-monohydroxy,,,C17H23NO3,Cc3cc(C2C(=O)N[C@@]1(CC[C@@H](CC1)OC)C2O)c(C)cc3
Spiroxamine,as such,Spiroxamine,,,,
Spiroxamine formulation (EC 500),active ingredient,Spiroxamine,,,,
Spiroxamine impurity (AE 1344300),as such,Spiroxamine impurity (AE 1344300),,,,
Spiroxamine impurity (AE 1344301),as such,Spiroxamine impurity (AE 1344301),,,,
Spiroxamine impurity (AE 1344320),as such,Spiroxamine impurity (AE 1344320),,,,
Spiroxamine impurity (AE 2074422),as such,Spiroxamine impurity (AE 2074422),,,,
Spiroxamine impurity (AE 2077192),as such,Spiroxamine impurity (AE 2077192),,,,
Spiroxamine impurity (AE 2078647),as such,Spiroxamine impurity (AE 2078647),,,,
Spiroxamine metabolite (KWG 4168 N-oxide),as such,Spiroxamine metabolite (KWG 4168 N-oxide),,,C18H35NO3,CC(C)(C)C1CCC2(CC1)OCC(C[N+]([O-])(CC)CCC)O2
Spiroxamine metabolite (KWG 4168 N-oxide),metabolite,Spiroxamine,,,,
Spiroxamine metabolite (M13),as such,Spiroxamine metabolite (M13),98-52-2,202-676-4,C10H20O,CC(C)(C)C1CCC(CC1)O
Spiroxamine metabolite (M13),metabolite,Spiroxamine,,,,
Spiroxamine metabolite (M28),as such,Spiroxamine metabolite (M28),,,C8H19NO2,CCCN(CC)CC(CO)O
Spiroxamine metabolite (M28),metabolite,Spiroxamine,,,,
Starch sodium octenyl succinate,as such,Starch sodium octenyl succinate,,,,
Stearic acid,as such,Stearic acid,57-11-4,200-313-4,C18H36O2,CCCCCCCCCCCCCCCCCC(=O)O
Sterigmatocystin,as such,Sterigmatocystin,10048-13-2,233-158-6,C18H12O6,COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=C(C2=O)C(=CC=C5)O
Steviol,as such,Steviol,471-80-7,,C20H30O3,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)O)(C)C(=O)O
Steviol glycosides,as such,Steviol glycosides,,,C38H60O18,
Steviol glycosides,part of,Dulcoside A,64432-06-0,,C38 H60 O17,CC1C(C(C(C(O1)OC2C(C(C(OC2OC34CCC5C6(CCCC(C6CCC5(C3)CC4=C)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C)CO)O)O)O)O)O
Steviol glycosides,part of,Dulcoside B,,,,
Steviol glycosides,part of,Rebaudioside 1h,,,,
Steviol glycosides,part of,Rebaudioside A,58543-16-1,611-696-6,C44H70O23,
Steviol glycosides,part of,Rebaudioside A2,,,,
Steviol glycosides,part of,Rebaudioside A3,,,,
Steviol glycosides,part of,Rebaudioside AM,,,,
Steviol glycosides,part of,Rebaudioside B,58543-17-2,,C38H60O18,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)OC6C(C(C(C(O6)CO)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)(C)C(=O)O
Steviol glycosides,part of,Rebaudioside C,63550-99-2,,C44H70O22,CC1C(C(C(C(O1)OC2C(C(C(OC2OC34CCC5C6(CCCC(C6CCC5(C3)CC4=C)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)O)C)CO)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)O
Steviol glycosides,part of,Rebaudioside C2,,,,
Steviol glycosides,part of,Rebaudioside D,63279-13-0,,C50 H80 O28,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)OC6C(C(C(C(O6)CO)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)(C)C(=O)OC8C(C(C(C(O8)CO)O)O)OC9C(C(C(C(O9)CO)O)O)O
Steviol glycosides,part of,Rebaudioside E,63279-14-1,,C44 H70 O23,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)CO)O)O)O
Steviol glycosides,part of,Rebaudioside F,438045-89-7,,C43H68O22,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)OC6C(C(C(C(O6)CO)O)O)O)OC7C(C(C(CO7)O)O)O)(C)C(=O)OC8C(C(C(C(O8)CO)O)O)O
Steviol glycosides,part of,Rebaudioside F2,,,,
Steviol glycosides,part of,Rebaudioside F3,,,,
Steviol glycosides,part of,Rebaudioside G,127345-21-5,,C38H60O18,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)(C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O
Steviol glycosides,part of,Rebaudioside H,,,C50H80O27,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@@]34CC[C@H]5[C@@]6(CCC[C@@]([C@H]6CC[C@]5(C3)CC4=C)(C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)O
Steviol glycosides,part of,Rebaudioside I,,,C50H80O28,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)O
Steviol glycosides,part of,Rebaudioside I2,,,,
Steviol glycosides,part of,Rebaudioside I3,,,,
Steviol glycosides,part of,Rebaudioside IX,,,,
Steviol glycosides,part of,Rebaudioside J,,,C50H80O27,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC(=O)[C@@]3(CCC[C@@]4([C@@H]3CC[C@]56[C@H]4CC[C@](C5)(C(=C)C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)C)C)CO)O)O)O)O)O
Steviol glycosides,part of,Rebaudioside K,,,,
Steviol glycosides,part of,Rebaudioside K2,,,,
Steviol glycosides,part of,Rebaudioside L,,,,
Steviol glycosides,part of,Rebaudioside M,1220616-44-3,,C56H90O33,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)OC6C(C(C(C(O6)CO)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)(C)C(=O)OC8C(C(C(C(O8)CO)O)OC9C(C(C(C(O9)CO)O)O)O)OC1C(C(C(C(O1)CO)O)O)O
Steviol glycosides,part of,Rebaudioside N,,,C56H90O32,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC(=O)[C@@]3(CCC[C@@]4([C@@H]3CC[C@]56[C@H]4CC[C@](C5)(C(=C)C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)C)C)CO)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O)O
Steviol glycosides,part of,Rebaudioside N2,,,,
Steviol glycosides,part of,Rebaudioside N6,,,,
Steviol glycosides,part of,Rebaudioside O,,,C62H100O37,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC(=O)[C@@]3(CCC[C@@]4([C@@H]3CC[C@]56[C@H]4CC[C@](C5)(C(=C)C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)C)C)CO)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O
Steviol glycosides,part of,Rebaudioside O2,,,,
Steviol glycosides,part of,Rebaudioside O5,,,,
Steviol glycosides,part of,Rebaudioside O6,,,,
Steviol glycosides,part of,Rebaudioside O7,,,,
Steviol glycosides,part of,Rebaudioside Q,,,,
Steviol glycosides,part of,Rebaudioside Q2,,,,
Steviol glycosides,part of,Rebaudioside Q3,,,,
Steviol glycosides,part of,Rebaudioside R,,,,
Steviol glycosides,part of,Rebaudioside S,,,,
Steviol glycosides,part of,Rebaudioside T,,,,
Steviol glycosides,part of,Rebaudioside U,,,,
Steviol glycosides,part of,Rebaudioside U2,,,,
Steviol glycosides,part of,Rebaudioside U3,,,,
Steviol glycosides,part of,Rebaudioside V,,,,
Steviol glycosides,part of,Rebaudioside V2,,,,
Steviol glycosides,part of,Rebaudioside W,,,,
Steviol glycosides,part of,Rebaudioside W2,,,,
Steviol glycosides,part of,Rebaudioside W3,,,,
Steviol glycosides,part of,Rebaudioside Y,,,,
Steviol glycosides,part of,Rubusoside,64849-39-4,,C32 H50 O13,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)O)O)(C)C(=O)OC6C(C(C(C(O6)CO)O)O)O
Steviol glycosides,part of,Steviol,471-80-7,,C20H30O3,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)O)(C)C(=O)O
Steviol glycosides,part of,Steviolbioside,41093-60-1,,C32H50O13,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)(C)C(=O)O
Steviol glycosides,part of,Steviolmonoside,60129-60-4,,C26H40O8,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)(C)C(=O)O
Steviol glycosides,part of,Steviolmonoside A,,,,
Steviol glycosides,part of,Stevioside,57817-89-7,260-975-5,C38H60O18,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)O
Steviol glycosides,part of,Stevioside A,,,,
Steviol glycosides,part of,Stevioside B,,,,
Steviol glycosides,part of,Stevioside D,,,,
Steviol glycosides,part of,Stevioside E,,,,
Steviol glycosides,part of,Stevioside E2,,,,
Steviol glycosides,part of,Stevioside F,,,,
Straight chain lepidopteran pheromone acetates,not part of group assessment,"(2E, 13Z)-Octadecadien-1-yl Acetate",86252-74-6,,C20H36O2,CCCC/C=C\CCCCCCCCC/C=C/COC(=O)C
Straight chain lepidopteran pheromone acetates,not part of group assessment,"(7E, 9E)-Dodecadienyl Acetate",54364-63-5,,C14H26O3,CCC=CC=CCCCCCCO.CC(=O)O
Straight chain lepidopteran pheromone acetates,not part of group assessment,"(7E, 9Z)-Dodecadien-1-yl Acetate",54364-62-4,259-127-7,,CC/C=C\C=C\CCCCCCOC(=O)C
Straight chain lepidopteran pheromone acetates,not part of group assessment,"(7Z, 11E)-Hexadecadien-1-yl Acetate",53042-79-8,,C18H32O2,CCCC/C=C/CC/C=C\CCCCCCOC(=O)C
Straight chain lepidopteran pheromone acetates,not part of group assessment,"(7Z, 11Z)-Hexadecadien-1-yl Acetate",52207-99-5,257-737-8,C18H32O2,CCCC/C=C\CC/C=C\CCCCCCOC(=O)C
Straight chain lepidopteran pheromone acetates,not part of group assessment,"(9Z, 12E)-Tetradecadien-1-yl acetate",31654-77-0,250-753-6,,C/C=C/C/C=C\CCCCCCCCOC(=O)C
Straight chain lepidopteran pheromone acetates,not part of group assessment,(E)-11-Tetradecenyl Acetate,33189-72-9,251-401-4,C16H30O2,CC/C=C/CCCCCCCCCCOC(=O)C
Straight chain lepidopteran pheromone acetates,not part of group assessment,(E)-8-Dodecenyl Acetate,38363-29-0,253-904-4,C14H26O2,CCC/C=C/CCCCCCCOC(=O)C
Straight chain lepidopteran pheromone acetates,not part of group assessment,(Z)-11-Hexadecen-1-yl Acetate,34010-21-4,251-791-6,C18H34O2,CCCC/C=C\CCCCCCCCCCOC(=O)C
Straight chain lepidopteran pheromone acetates,not part of group assessment,(Z)-11-Tetradecenyl Acetate,20711-10-8,243-982-8,C16H30O2,CC/C=C\CCCCCCCCCCOC(=O)C
Straight chain lepidopteran pheromone acetates,not part of group assessment,(Z)-8-Dodecenyl Acetate,28079-04-1,248-823-6,C14H26O2,CCC/C=C\CCCCCCCOC(=O)C
Straight chain lepidopteran pheromone acetates,not part of group assessment,(Z)-9-Dodecenyl Acetate,16974-11-1,241-054-7,,CC/C=C/CCCCCCCCOC(=O)C
Straight chain lepidopteran pheromone acetates,not part of group assessment,(Z)-9-Tetradecenyl Acetate,16725-53-4,240-780-1,C16H30O2,CCCC/C=C\CCCCCCCCOC(=O)C
Straight chain lepidopteran pheromone acetates,not part of group assessment,Dodecyl acetate,112-66-3,203-995-1,C14H28O2,O=C(C)OCCCCCCCCCCCC
Straight chain lepidopteran pheromone acetates,not part of group assessment,E-5-Decen-1-yl Acetate,38421-90-8,253-923-8,,CCCCC=CCCCCOC(=O)C
Straight chain lepidopteran pheromone alcohols,not part of group assessment,"(E,E)-8,10-Dodecadien-1-ol",33956-49-9,251-761-2,C12H22O,C/C=C/C=C/CCCCCCCO
Straight chain lepidopteran pheromone alcohols,not part of group assessment,(Z)-11-Hexadecen-1-ol,56683-54-6,260-337-6,C16H32O,CCCC/C=C\CCCCCCCCCCO
Straight chain lepidopteran pheromone alcohols,not part of group assessment,(Z)-8-Dodecenol,40642-40-8,255-019-9,C12H24O,CCC/C=C\CCCCCCCO
Straight chain lepidopteran pheromone alcohols,not part of group assessment,E-5-Decen-1-ol,56578-18-8,260-267-6,C10H20O,CCCC/C=C/CCCCO
Straight chain lepidopteran pheromone alcohols,not part of group assessment,Tetradecan-1-ol,112-72-1,204-000-3,C14H30O,OCCCCCCCCCCCCCC
Straight chain lepidopteran pheromone aldehydes,not part of group assessment,(Z)-11-Hexadecenal,53939-28-9,258-876-7,C16H30O,CCCC/C=C\CCCCCCCCCC=O
Straight chain lepidopteran pheromone aldehydes,not part of group assessment,(Z)-13-Octadecenal,58594-45-9,261-349-4,C18H34O,CCCC/C=C\CCCCCCCCCCCC=O
Straight chain lepidopteran pheromone aldehydes,not part of group assessment,(Z)-7-Tetradecenal,65128-96-3,265-493-9,C14H26O,CCCCCC/C=C\CCCCCC=O
Straight chain lepidopteran pheromone aldehydes,not part of group assessment,(Z)-9-Hexadecenal,56219-04-6,260-064-2,C16H30O,CCCCCC/C=C\CCCCCCCC=O
Succinic acid,as such,Succinic acid,110-15-6,203-740-4,C4H6O4,C(CC(=O)O)C(=O)O
"Succinic acid, disodium salt",as such,"Succinic acid, disodium salt",150-90-3,205-778-7,C4H4Na2O4,[Na+].[Na+].[O-]C(=O)CCC(=O)[O-]
Sucralose,as such,Sucralose,56038-13-2,259-952-2,C12H19Cl3O8,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O
Sucroglycerides,as such,Sucroglycerides,,,,
Sucroglycerides,maybe part of,Diesters of sucrose with fatty acids,,,,
Sucroglycerides,maybe part of,Diglycerides,,,,
Sucroglycerides,maybe part of,Monoesters of sucrose with fatty acids,,,,
Sucroglycerides,maybe part of,Monoglycerides,,,,
Sucroglycerides,maybe part of,Triesters of sucrose with fatty acids,,,,
Sucroglycerides,maybe part of,Triglycerides,,,,
Sucrose acetate isobutyrate,as such,Sucrose acetate isobutyrate,126-13-6,204-771-6,C40H62O19,O=C(O[C@@H]1[C@@](O[C@@H](O[C@H](COC(C)=O)[C@H]2OC(C(C)C)=O)[C@H](OC(C(C)C)=O)[C@H]2OC(C(C)C)=O)(COC(C)=O)O[C@H](COC(C(C)C)=O)[C@H]1OC(C(C)C)=O)C(C)C
Sucrose esters of fatty acids,as such,Sucrose esters of fatty acids,,,,
Sucrose esters of fatty acids,maybe part of,Diesters of sucrose with fatty acids,,,,
Sucrose esters of fatty acids,maybe part of,Heptaesters of sucrose with fatty acids,,,,
Sucrose esters of fatty acids,maybe part of,Hexaesters of sucrose with fatty acids,,,,
Sucrose esters of fatty acids,maybe part of,Monoesters of sucrose with fatty acids,,,,
Sucrose esters of fatty acids,maybe part of,Octoesters of sucrose with fatty acids,,,,
Sucrose esters of fatty acids,maybe part of,Pentaesters of sucrose with fatty acids,,,,
Sucrose esters of fatty acids,maybe part of,Tetraesters of sucrose with fatty acids,,,,
Sucrose esters of fatty acids,maybe part of,Triesters of sucrose with fatty acids,,,,
Sucrose octaacetate,as such,Sucrose octaacetate,126-14-7,204-772-1,,O=C(C)OC[C@]([C@H]1OC(C)=O)(O[C@H](COC(C)=O)[C@H]1OC(C)=O)O[C@@H](O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@@H]2OC(C)=O
Sudan I,as such,Sudan I,842-07-9,212-668-2,C16H12N2O,C1=CC=C(C=C1)N/N=C/2\C(=O)C=CC3=CC=CC=C32
Sudan II,as such,Sudan II,3118-97-6,,,
Sudan III,as such,Sudan III,85-86-9,,,
Sudan IV,as such,Sudan IV,85-83-6,,,
Sudan Red 7B,as such,Sudan Red 7B,6368-72-5,,,
Sulcotrione,as such,Sulcotrione,99105-77-8,,C14H13ClO5S,O=C2CCCC(=O)C2C(=O)c1ccc(cc1Cl)S(C)(=O)=O
Sulcotrione formulation (300 SC),active ingredient,Sulcotrione,99105-77-8,,C14H13ClO5S,O=C2CCCC(=O)C2C(=O)c1ccc(cc1Cl)S(C)(=O)=O
Sulfanilamide,as such,Sulfanilamide,63-74-1,200-563-4,C6H8N2O2S,O=S(N)(=O)c1ccc(N)cc1
Sulfanilamide,metabolite,Asulam,3337-71-1,222-077-1,C8H10N2O4S,COC(=O)NS(=O)(=O)c1ccc(N)cc1
Sulfanilic acid,as such,Sulfanilic acid,121-57-3,276-203-5,C6H7NO3S,C1=CC(=CC=C1N)S(=O)(=O)O
Sulfanilic acid,metabolite,Asulam,3337-71-1,222-077-1,C8H10N2O4S,COC(=O)NS(=O)(=O)c1ccc(N)cc1
Sulfate ion,as such,Sulfate ion,,,O4S,S(=O)([O-])([O-])=O
Sulfonate,as such,Sulfonate,,,,[O-]S(=O)=O
Sulfonate,metabolite,Dimethenamid,87674-68-8,,C12H18ClNO2S,O=C(CCl)N(C(C)COC)C1=C(C)SC=C1C
Sulfosulfuron,as such,Sulfosulfuron,141776-32-1,,C16H18N6O7S2,CCS(=O)(=O)C1=C(N2C=CC=CC2=N1)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC
Sulfoxaflor,as such,Sulfoxaflor,,,,
Sulfoxaflor formulation (GF-2372),active ingredient,Sulfoxaflor,,,,
Sulfoxaflor formulation (GF-2626),active ingredient,Sulfoxaflor,,,,
Sulfoxaflor impurity (B2),as such,Sulfoxaflor impurity (B2),,,,
Sulfoxaflor metabolite (X11519540),as such,Sulfoxaflor metabolite (X11519540),,,C9H10F3NO2S,FC(F)(F)c1ccc(cn1)C(C)S(C)(=O)=O
Sulfoxaflor metabolite (X11519540),metabolite,Sulfoxaflor,,,,
Sulfoxaflor metabolite (X11579457),as such,Sulfoxaflor metabolite (X11579457),,,C9H11F3N2OS,CC(C1=CN=C(C=C1)C(F)(F)F)S(=N)(=O)C
Sulfoxaflor metabolite (X11579457),metabolite,Sulfoxaflor,,,,
Sulfoxaflor metabolite (X11596066),as such,Sulfoxaflor metabolite (X11596066),,,C8H8F3N,FC(F)(F)c1ccc(CC)cn1
Sulfoxaflor metabolite (X11596066),metabolite,Sulfoxaflor,,,,
Sulfoxaflor metabolite (X11719474),as such,Sulfoxaflor metabolite (X11719474),,,C10H12F3N3O2S,CC(C1=CN=C(C=C1)C(F)(F)F)S(=NC(=O)N)(=O)C
Sulfoxaflor metabolite (X11719474),metabolite,Sulfoxaflor,,,,
Sulfoxaflor metabolite (X11721061),as such,Sulfoxaflor metabolite (X11721061),1228631-54-6,,C8H8F3NO,CC(C1=CN=C(C=C1)C(F)(F)F)O
Sulfoxaflor metabolite (X11721061),metabolite,Sulfoxaflor,,,,
Sulfur dioxide,as such,Sulfur dioxide,,,,
Sulfur dioxide and sulfites group,part of group assessment,Calcium bisulfite,13780-03-5,237-423-7,CaH2O6S2,[S]([O-])(=O)O.O=[S]([O-])O.[Ca++]
Sulfur dioxide and sulfites group,part of group assessment,Calcium sulfite,10257-55-3,233-596-8,CaH2O3S,O=[S](O)O.[Ca++]
Sulfur dioxide and sulfites group,part of group assessment,Potassium bisulfite,7773-03-7,231-870-1,HKO3S,O=[S](O)[O-].[K+]
Sulfur dioxide and sulfites group,part of group assessment,Potassium metabisulfite,16731-55-8,240-795-3,K2O5S2,[S]([S](=O)(=O)[O-])(=O)[O-].[K+].[K+]
Sulfur dioxide and sulfites group,part of group assessment,Sodium bisulfite,7631-90-5,231-548-0,HNaO3S,[S](=O)(=O)[O-].[Na+]
